x	y	Sought Treatment	labels
-17.987692	11.443281	0	7
8.80667	-9.796753	0	3
-14.617985	-12.328103	1	4
17.154507	2.567915	0	6
-16.818964	-22.348452	0	1
-17.974773	7.981005	1	7
-7.0186915	9.51859	1	7
-12.892491	17.794163	1	5
-14.319248	-0.69539523	1	4
-16.367188	0.9754833	1	7
-6.8115435	-11.345511	1	4
8.663249	6.830127	1	0
3.8370147	6.204267	1	0
10.654419	22.09867	1	2
-2.1238866	-3.1089044	1	0
4.6792774	25.276417	0	2
-7.1323776	-23.23094	0	1
2.8092334	17.081932	1	5
10.726174	11.986905	0	2
-9.566084	-2.9191396	1	4
18.742325	5.165718	0	6
-17.675343	-23.226154	1	1
-8.532616	3.9057407	1	7
-0.965314	1.1881286	0	0
-19.040176	2.4530473	1	7
23.763786	1.9640348	1	6
5.656695	10.338375	1	0
12.152698	1.4243124	0	6
-6.5082617	7.486868	1	7
1.4553515	12.443622	1	5
-12.49666	-20.917683	1	1
17.844172	-3.608822	0	6
-6.5054355	8.296826	1	7
14.418359	6.0869007	1	6
2.67809	-16.370956	1	3
-13.493633	-18.393715	1	1
14.824359	-14.953182	1	3
8.17446	-5.700555	1	3
6.289581	11.823838	1	2
3.1710804	4.428751	0	0
-14.532437	-4.005629	1	4
8.277352	20.697815	0	2
-1.951696	21.559324	1	5
3.4165604	-6.093197	0	3
-8.931511	-7.943825	0	4
8.998288	14.990279	0	2
-1.0158293	17.164011	1	5
3.6670215	-10.018226	0	3
11.309786	-5.405875	1	6
2.9524825	-13.1004715	1	3
14.80259	2.8480306	0	6
5.2413907	-10.049889	0	3
8.811241	-7.165331	1	3
12.822163	8.65917	0	6
-15.98655	10.037433	1	7
-4.1012316	17.608322	0	5
-0.4714123	-2.9986436	1	0
15.968958	12.352312	1	2
2.112913	14.736144	1	5
-0.44326806	-11.823908	0	3
-5.9962635	6.209392	0	7
-13.303335	-28.534794	1	1
-8.525335	-5.466242	1	4
3.0802588	13.034844	1	5
-13.108731	-5.1286426	1	4
-12.781875	-19.157076	1	1
22.724834	7.5020266	0	6
-10.589813	-4.898843	1	4
-8.035952	-22.266275	1	1
2.819714	-8.342514	0	3
