x	y	Sought Treatment	labels
2.1676886	20.606945	1	0
-5.341313	21.525461	0	6
-3.8230162	-31.139921	0	1
-8.619304	-24.55504	0	1
17.661766	-1.1229339	1	3
-4.5994396	-32.468105	1	1
18.505945	-5.095081	0	3
3.2065363	-0.6168887	1	5
13.814471	-22.679935	1	7
-9.434857	-1.1913155	1	2
13.662415	-23.033245	0	7
-0.3209121	29.110329	1	0
-9.563424	-1.2329007	1	2
5.3354697	-1.6790392	1	5
-9.021467	4.626499	1	2
1.225494	29.353216	1	0
3.981735	9.434854	0	4
1.1402419	29.174088	1	0
9.773801	-23.626944	1	7
-1.6667162	5.3941097	1	2
-4.9608665	21.290358	1	6
-4.6081038	14.825535	1	6
-3.5179093	-12.486927	0	5
10.053768	-19.05646	1	7
-1.7775395	1.2589102	1	2
-2.9251044	-31.584257	0	1
13.876897	-23.827232	0	7
-9.638858	-1.2921796	1	2
-9.204236	1.924638	1	2
-9.2348795	-1.2081869	1	2
-6.351127	-9.625208	1	5
-5.3133645	21.44876	1	6
10.820348	14.509904	1	4
10.053099	-19.055847	1	7
10.860655	0.7009808	0	3
11.183013	-4.5288105	1	3
11.49303	3.1667562	1	3
-11.465699	-26.820316	1	1
-12.619843	4.2022214	0	2
-0.47769725	30.305122	1	0
-4.6103735	-31.989618	1	1
-7.9688363	5.59713	1	2
13.8199005	3.9222178	1	3
-0.5037017	30.22721	0	0
-0.3393104	3.5665045	1	2
18.48628	-5.364044	0	3
0.22656062	17.926184	1	4
-16.012222	19.495499	0	6
-4.786566	-31.35987	0	1
16.323097	-6.455979	1	3
-8.167459	22.683653	0	6
-1.777768	1.2589415	1	2
-16.231504	19.347828	1	6
-5.5942593	0.6581104	1	2
-9.055918	-1.2415348	1	2
4.7374825	-15.087611	0	5
16.320518	-6.4572325	1	3
-16.155514	19.10866	1	6
0.9108357	-21.678226	0	1
13.8204	-22.667465	0	7
-8.627604	17.253946	1	6
-4.939468	-10.760732	0	5
-8.793848	-1.7760016	1	2
-11.6632805	-26.925846	0	1
-16.08497	18.843103	1	6
-4.466495	-32.799316	0	1
9.774657	-23.627838	0	7
2.1670163	20.60621	1	0
-8.16757	22.683743	1	6
2.167016	20.606201	1	0
-6.3522596	-9.623713	1	5
-5.163089	7.2971387	1	2
-1.777711	1.2586817	1	2
-12.727931	4.4506	0	2
-12.676867	4.4094243	0	2
-2.4601831	-9.4716425	0	5
-4.7927904	-31.367233	1	1
-9.652247	25.12613	1	6
-4.045542	14.082489	0	6
-4.4019566	-31.18877	0	1
3.2068872	-0.6169975	1	5
17.66232	-1.1251011	1	3
-8.168116	22.683075	1	6
-15.690871	17.955975	1	6
10.457169	14.742853	0	4
0.7367404	-12.226201	1	5
-12.639786	4.165736	0	2
-3.1390345	-31.356977	1	1
14.756517	-22.417662	1	7
-3.1899943	-31.31329	0	1
-2.6965868	-32.01021	1	1
-9.046958	4.616843	0	2
4.2761536	-1.0630437	1	5
11.184301	-4.5282283	0	3
10.841281	0.7157184	0	3
-12.667292	4.399508	0	2
-5.095261	21.921738	1	6
14.578878	-22.37449	0	7
3.1788843	-16.124245	0	5
16.683716	2.7776535	1	3
-0.581333	29.647552	1	0
9.774977	-23.628132	0	7
1.1185797	-3.381431	1	5
3.887022	9.486355	1	4
0.05803133	29.610489	1	0
-9.757234	-1.3879266	1	2
7.9948297	-21.669622	0	7
-15.563014	17.34541	0	6
7.994831	-21.669632	0	7
-4.9392166	-10.759489	0	5
-15.695248	18.088694	0	6
-1.7754	1.2596854	1	2
-6.1015143	-20.779629	1	1
-9.242545	-1.2067083	1	2
-3.5183818	-12.488378	0	5
13.672149	-22.928795	0	7
-12.551862	14.0172615	1	6
-4.976991	21.913662	0	6
0.7367552	-12.2260065	0	5
-9.046406	4.617094	1	2
-11.733986	5.9081197	1	2
10.366882	15.043605	1	4
0.61708075	28.844025	1	0
-9.203103	1.9244987	1	2
18.808231	-4.8581395	1	3
6.51269	-4.1514726	1	5
-15.124124	17.666595	1	6
-5.1687727	7.295328	1	2
0.6485516	29.588982	1	0
-3.3643422	-8.817737	0	5
-5.0107784	-11.459476	0	5
19.758131	1.53477	1	3
-15.446118	18.85851	0	6
13.81967	3.9302292	1	3
3.9525728	-4.437773	0	5
3.325257	-16.303226	1	5
0.5993961	29.582132	1	0
19.206882	-4.809255	0	3
-6.1247597	-20.73793	1	1
10.372538	15.042123	1	4
-9.655632	25.12034	1	6
19.067892	-5.3797355	0	3
10.373103	15.24138	1	4
10.397209	15.352108	1	4
3.1788843	-16.124245	1	5
18.503529	-5.3911853	0	3
10.979841	15.100859	1	4
-12.675893	4.41149	1	2
-4.522671	-32.025944	1	1
19.428167	-1.5863112	1	3
-4.9403152	-10.76056	1	5
-15.185402	17.621677	1	6
-10.881421	13.870752	1	6
-0.008954451	-12.129703	0	5
-0.55032915	29.475668	1	0
4.49333	9.6191435	0	4
16.69517	2.775971	1	3
-5.131036	-31.769728	0	1
20.966454	-1.6415708	0	3
-3.518366	-12.486915	0	5
-9.052786	4.61536	1	2
-14.834898	18.183765	0	6
-15.490435	19.862774	1	6
-10.537428	-22.573103	1	1
14.562739	-22.36978	0	7
-4.1266494	-31.033619	0	1
-3.5428874	-31.836689	1	1
-4.233295	-31.076818	0	1
10.441487	14.778383	1	4
-10.53925	-22.57389	0	1
-6.245502	1.8557444	1	2
17.663673	-1.1234504	1	3
19.900162	1.4926519	1	3
-0.008792422	-12.130821	0	5
-6.165375	-20.450924	0	1
-8.625929	-24.556698	1	1
-6.149133	-20.378708	1	1
10.9721155	15.075719	1	4
-4.9699593	21.912483	1	6
-5.4325213	6.1737185	1	2
-4.6267138	12.501552	0	6
-5.236595	21.354813	1	6
-0.1901358	-8.803582	1	5
-4.5584826	-32.159714	0	1
11.492819	3.1667938	1	3
0.9824409	29.002295	0	0
-1.7769535	1.2581544	1	2
-4.6266384	12.501488	1	6
19.212524	-4.8132453	1	3
-5.961539	-20.136892	0	1
10.865501	0.700737	0	3
-5.2299004	4.961914	1	2
0.51042736	28.809303	1	0
